transaction_id,customer_external_id,transaction_date,product_sku,product_name,category,quantity,unit_price,total_amount
ALT-T101A,ALT-CRISIS-101,2025-01-15,ALT-PRD-101,Care Operations Platform,Software,5,10000,50000
ALT-T101B,ALT-CRISIS-101,2025-05-15,ALT-PRD-101,Care Operations Platform,Software,5,10000,50000
ALT-T101C,ALT-CRISIS-101,2026-01-15,ALT-PRD-101,Care Operations Platform,Software,2,7500,15000
ALT-T101D,ALT-CRISIS-101,2026-05-15,ALT-PRD-101,Care Operations Platform,Software,1,5000,5000
ALT-T102A,ALT-PRICE-102,2025-02-12,ALT-PRD-102,Clinical Analytics Review,Service,3,10000,30000
ALT-T102B,ALT-PRICE-102,2025-06-12,ALT-PRD-102,Clinical Analytics Review,Service,3,10000,30000
ALT-T102C,ALT-PRICE-102,2026-02-12,ALT-PRD-102,Clinical Analytics Review,Service,1,15000,15000
ALT-T102D,ALT-PRICE-102,2026-06-12,ALT-PRD-102,Clinical Analytics Review,Service,1,10000,10000
ALT-T103A,ALT-PRIVATE-103,2025-01-22,ALT-PRD-103,Compliance Archive,Software,4,5000,20000
ALT-T103B,ALT-PRIVATE-103,2025-05-22,ALT-PRD-103,Compliance Archive,Software,4,5000,20000
ALT-T103C,ALT-PRIVATE-103,2026-01-22,ALT-PRD-103,Compliance Archive,Software,2,4000,8000
ALT-T103D,ALT-PRIVATE-103,2026-05-22,ALT-PRD-103,Compliance Archive,Software,2,4000,8000
ALT-T104A,ALT-NOPHONE-104,2025-02-05,ALT-PRD-104,CareConnect Portal,Software,3,6000,18000
ALT-T104B,ALT-NOPHONE-104,2025-06-05,ALT-PRD-104,CareConnect Portal,Software,3,6000,18000
ALT-T104C,ALT-NOPHONE-104,2026-02-05,ALT-PRD-104,CareConnect Portal,Software,1,7000,7000
ALT-T104D,ALT-NOPHONE-104,2026-06-05,ALT-PRD-104,CareConnect Portal,Software,1,7000,7000
ALT-T105A,ALT-DORMANT-105,2024-09-10,ALT-PRD-101,Care Operations Platform,Software,5,5000,25000
ALT-T105B,ALT-DORMANT-105,2025-01-10,ALT-PRD-101,Care Operations Platform,Software,5,5000,25000
ALT-T105C,ALT-DORMANT-105,2025-09-10,ALT-PRD-101,Care Operations Platform,Software,1,5000,5000
ALT-T105D,ALT-DORMANT-105,2026-01-10,ALT-PRD-101,Care Operations Platform,Software,1,5000,5000
ALT-T106A,ALT-RECOVER-106,2025-01-18,ALT-PRD-105,Priority Recovery Support,Service,1,10000,10000
ALT-T106B,ALT-RECOVER-106,2025-06-18,ALT-PRD-105,Priority Recovery Support,Service,1,10000,10000
ALT-T106C,ALT-RECOVER-106,2026-02-18,ALT-PRD-105,Priority Recovery Support,Service,1,10000,10000
ALT-T106D,ALT-RECOVER-106,2026-07-10,ALT-PRD-105,Priority Recovery Support,Service,2,12500,25000
ALT-T107A,ALT-GROW-107,2025-01-25,ALT-PRD-104,CareConnect Portal,Software,1,7000,7000
ALT-T107B,ALT-GROW-107,2025-05-25,ALT-PRD-104,CareConnect Portal,Software,1,7000,7000
ALT-T107C,ALT-GROW-107,2026-02-25,ALT-PRD-104,CareConnect Portal,Software,2,7000,14000
ALT-T107D,ALT-GROW-107,2026-07-12,ALT-PRD-104,CareConnect Portal,Software,3,7000,21000
ALT-T108A,ALT-QUIET-108,2025-02-08,ALT-PRD-103,Compliance Archive,Software,2,5000,10000
ALT-T108B,ALT-QUIET-108,2025-07-08,ALT-PRD-103,Compliance Archive,Software,2,5000,10000
ALT-T108C,ALT-QUIET-108,2026-02-08,ALT-PRD-103,Compliance Archive,Software,2,4500,9000
ALT-T108D,ALT-QUIET-108,2026-07-08,ALT-PRD-103,Compliance Archive,Software,2,4500,9000
ALT-T109A,ALT-STABLE-109,2025-01-30,ALT-PRD-101,Care Operations Platform,Software,1,12000,12000
ALT-T109B,ALT-STABLE-109,2025-07-30,ALT-PRD-101,Care Operations Platform,Software,1,12000,12000
ALT-T109C,ALT-STABLE-109,2026-01-30,ALT-PRD-101,Care Operations Platform,Software,1,12000,12000
ALT-T109D,ALT-STABLE-109,2026-07-15,ALT-PRD-101,Care Operations Platform,Software,1,12000,12000
