transaction_id,customer_external_id,transaction_date,product_sku,product_name,category,quantity,unit_price,total_amount
IMP-T001A,IMP-RISK-001,2025-01-10,PRD-001,Enterprise Support,Service,2,20000,40000
IMP-T001B,IMP-RISK-001,2025-04-10,PRD-001,Enterprise Support,Service,2,20000,40000
IMP-T001C,IMP-RISK-001,2026-01-10,PRD-001,Enterprise Support,Service,1,12000,12000
IMP-T001D,IMP-RISK-001,2026-04-10,PRD-001,Enterprise Support,Service,1,8000,8000
IMP-T002A,IMP-GROW-002,2025-01-12,PRD-006,Team Workspace,Software,1,7000,7000
IMP-T002B,IMP-GROW-002,2025-05-12,PRD-006,Team Workspace,Software,1,7000,7000
IMP-T002C,IMP-GROW-002,2026-02-12,PRD-006,Team Workspace,Software,2,7000,14000
IMP-T002D,IMP-GROW-002,2026-06-12,PRD-006,Team Workspace,Software,3,7000,21000
IMP-T003A,IMP-PRICE-003,2025-01-15,PRD-004,Retail Essentials,Software,4,9000,36000
IMP-T003B,IMP-PRICE-003,2025-04-15,PRD-004,Retail Essentials,Software,4,9000,36000
IMP-T003C,IMP-PRICE-003,2026-01-15,PRD-004,Retail Essentials,Software,2,9000,18000
IMP-T003D,IMP-PRICE-003,2026-05-15,PRD-004,Retail Essentials,Software,1,9000,9000
IMP-T004A,IMP-NOCONSENT-004,2025-02-20,PRD-004,Retail Essentials,Software,3,9000,27000
IMP-T004B,IMP-NOCONSENT-004,2025-05-20,PRD-004,Retail Essentials,Software,3,9000,27000
IMP-T004C,IMP-NOCONSENT-004,2026-02-20,PRD-004,Retail Essentials,Software,1,9000,9000
IMP-T004D,IMP-NOCONSENT-004,2026-06-20,PRD-004,Retail Essentials,Software,1,9000,9000
IMP-T005A,IMP-QUIET-005,2025-01-01,PRD-002,Cloud Workspace,Software,3,10000,30000
IMP-T005B,IMP-QUIET-005,2025-05-01,PRD-002,Cloud Workspace,Software,3,10000,30000
IMP-T005C,IMP-QUIET-005,2026-01-01,PRD-002,Cloud Workspace,Software,2,10000,20000
IMP-T005D,IMP-QUIET-005,2026-05-01,PRD-002,Cloud Workspace,Software,1,10000,10000
IMP-T006A,IMP-STABLE-006,2025-02-01,PRD-006,Team Workspace,Software,1,7000,7000
IMP-T006B,IMP-STABLE-006,2025-08-01,PRD-006,Team Workspace,Software,1,7000,7000
IMP-T006C,IMP-STABLE-006,2026-02-01,PRD-006,Team Workspace,Software,1,7000,7000
IMP-T006D,IMP-STABLE-006,2026-07-01,PRD-006,Team Workspace,Software,1,7000,7000
IMP-T007A,IMP-RECOVER-007,2025-01-21,PRD-001,Enterprise Support,Service,1,20000,20000
IMP-T007B,IMP-RECOVER-007,2025-07-21,PRD-001,Enterprise Support,Service,1,20000,20000
IMP-T007C,IMP-RECOVER-007,2026-01-21,PRD-001,Enterprise Support,Service,1,20000,20000
IMP-T007D,IMP-RECOVER-007,2026-07-01,PRD-001,Enterprise Support,Service,2,20000,40000
IMP-T008A,IMP-NOCONTACT-008,2025-01-11,PRD-004,Retail Essentials,Software,3,9000,27000
IMP-T008B,IMP-NOCONTACT-008,2025-05-11,PRD-004,Retail Essentials,Software,3,9000,27000
IMP-T008C,IMP-NOCONTACT-008,2026-02-11,PRD-004,Retail Essentials,Software,1,9000,9000
IMP-T008D,IMP-NOCONTACT-008,2026-06-11,PRD-004,Retail Essentials,Software,1,9000,9000
